run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_openrouter_20260729T151202905266,v0,v0+p5e6be4d56c5b+t011c271ef0bb,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T151202905266,v0,v0+p5e6be4d56c5b+t011c271ef0bb,base,R06_timeframe_arg,False,wrong_arg_value,wrong_arg_value,lookup,lookup,False,True,False,"topic: expected 'news', got None"
v0_B_base_openrouter_20260729T151202905266,v0,v0+p5e6be4d56c5b+t011c271ef0bb,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v0_B_base_openrouter_20260729T151202905266,v0,v0+p5e6be4d56c5b+t011c271ef0bb,base,R08_out_of_scope,False,out_of_scope,unexpected_tool_call,no_tool,send,False,False,False,expected no tool call
v0_B_base_openrouter_20260729T151202905266,v0,v0+p5e6be4d56c5b+t011c271ef0bb,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v0_B_base_openrouter_20260729T151202905266,v0,v0+p5e6be4d56c5b+t011c271ef0bb,base,R10_missing_handle,False,missing_info,missing_tool_call,clarify,timeline,False,False,False,missing tool call clarify; extra tool call timeline
v0_B_base_openrouter_20260729T151202905266,v0,v0+p5e6be4d56c5b+t011c271ef0bb,base,R11_missing_url,False,missing_info,missing_tool_call,clarify,fetch,False,False,False,missing tool call clarify; extra tool call fetch
v0_B_base_openrouter_20260729T151202905266,v0,v0+p5e6be4d56c5b+t011c271ef0bb,base,R12_confirm_before_send,False,wrong_boundary,missing_tool_call,clarify,send,False,False,False,missing tool call clarify; extra tool call send
v0_B_base_openrouter_20260729T151202905266,v0,v0+p5e6be4d56c5b+t011c271ef0bb,base,R13_parallel_web_and_tweets,False,wrong_tool,wrong_arg_value,lookup|social_search,lookup|social_search,False,True,False,"query: expected 'AI', got 'AI news'; topic: expected 'news', got None"
v0_B_base_openrouter_20260729T151202905266,v0,v0+p5e6be4d56c5b+t011c271ef0bb,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v0_B_base_openrouter_20260729T151202905266,v0,v0+p5e6be4d56c5b+t011c271ef0bb,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T151202905266,v0,v0+p5e6be4d56c5b+t011c271ef0bb,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260729T151202905266,v0,v0+p5e6be4d56c5b+t011c271ef0bb,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T151202905266,v0,v0+p5e6be4d56c5b+t011c271ef0bb,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v0_B_base_openrouter_20260729T151202905266,v0,v0+p5e6be4d56c5b+t011c271ef0bb,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T151202905266,v0,v0+p5e6be4d56c5b+t011c271ef0bb,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,R10_missing_handle,False,missing_info,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'text', got None"
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,R11_missing_url,False,missing_info,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'text', got None"
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,R12_confirm_before_send,False,wrong_boundary,missing_tool_call,clarify,send,False,False,False,missing tool call clarify; extra tool call send
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T151646642852,v0,v0+pf702805c5e03+t011c271ef0bb,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,R10_missing_handle,False,missing_info,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'text', got None"
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,R11_missing_url,False,missing_info,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'text', got None"
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,R12_confirm_before_send,False,wrong_boundary,missing_tool_call,clarify,send,False,False,False,missing tool call clarify; extra tool call send
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T152743646799,v3,v3+pf702805c5e03+t011c271ef0bb,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v4_B_group_openrouter_20260729T153440388065,v4,v4+pf702805c5e03+t011c271ef0bb,group,G01_single_wrong_tool,False,wrong_tool,wrong_arg_value,social_search,social_search,False,True,False,"query: expected 'VinFast', got 'VinFast electric vehicles'"
v4_B_group_openrouter_20260729T153440388065,v4,v4+pf702805c5e03+t011c271ef0bb,group,G02_single_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v4_B_group_openrouter_20260729T153440388065,v4,v4+pf702805c5e03+t011c271ef0bb,group,G03_single_unnecessary_tool,False,unnecessary_tool,,no_tool,,True,True,True,
v4_B_group_openrouter_20260729T153440388065,v4,v4+pf702805c5e03+t011c271ef0bb,group,G04_single_wrong_boundary,False,wrong_boundary,missing_tool_call,clarify,send,False,False,False,missing tool call clarify; extra tool call send
v4_B_group_openrouter_20260729T153440388065,v4,v4+pf702805c5e03+t011c271ef0bb,group,G05_single_wrong_arg_value,False,wrong_arg_value,,timeline,timeline,True,True,True,
v4_B_group_openrouter_20260729T153440388065,v4,v4+pf702805c5e03+t011c271ef0bb,group,G06_multi_missing_info,True,missing_info,missing_tool_call,clarify,fetch,False,False,False,missing tool call clarify; extra tool call fetch
v4_B_group_openrouter_20260729T153440388065,v4,v4+pf702805c5e03+t011c271ef0bb,group,G07_multi_switch_tool,True,wrong_tool,,social_search,social_search,True,True,True,
v4_B_group_openrouter_20260729T153440388065,v4,v4+pf702805c5e03+t011c271ef0bb,group,G08_multi_wrong_arg_correction,True,wrong_arg_value,missing_tool_call,lookup,papers,False,False,False,missing tool call lookup; extra tool call papers
v4_B_group_openrouter_20260729T153440388065,v4,v4+pf702805c5e03+t011c271ef0bb,group,G09_multi_carryover,True,wrong_arg_value,,fetch,fetch,True,True,True,
v4_B_group_openrouter_20260729T153440388065,v4,v4+pf702805c5e03+t011c271ef0bb,group,G10_multi_out_of_scope,True,out_of_scope,,no_tool,,True,True,True,
